26,5,-1,13.224147880896044,0
15,7,0,13.224324778262943,0
21,11,-1,13.340259264702398,0
37,5,3,13.22421906848701,0
19,6,6,13.223800858905198,0
35,8,9,13.231575270724285,0
11,9,9,30.697232796830647,1
13,5,2,13.22380971412987,0
9,5,1,13.230438278715855,0
33,7,3,14.581716334223499,0
3,8,6,32.69182924220202,1
17,11,7,13.22416826969637,0
32,11,6,13.224222764040306,0
24,11,4,39.981127009718534,1
5,11,3,24.547527901923278,0
4,8,3,29.822581568485106,1
2,13,5,35.81044889964717,1
14,12,1,13.22984721937822,0
